時間,設備,值
2024-10-26 09:50:48,SA-54/TEMPERATURE,30.79
2024-10-26 09:50:50,SA-54/TEMPERATURE,31.26
2024-10-26 09:50:56,SA-54/LIGHT_LEVEL,1
2024-10-26 09:51:02,SA-54/LIGHT_LEVEL,0
2024-10-26 09:51:04,SA-54/TEMPERATURE,30.79
2024-10-26 09:51:06,SA-54/TEMPERATURE,31.26
2024-10-26 09:51:16,SA-54/TEMPERATURE,30.79
2024-10-26 09:51:16,SA-54/LIGHT_LEVEL,1
2024-10-26 09:51:18,SA-54/LIGHT_LEVEL,0
2024-10-26 09:51:22,SA-54/TEMPERATURE,31.26
2024-10-26 09:51:28,SA-54/TEMPERATURE,30.79
2024-10-26 09:51:30,SA-54/TEMPERATURE,31.26
2024-10-26 09:51:52,SA-54/TEMPERATURE,30.79
2024-10-26 09:51:54,SA-54/TEMPERATURE,31.26
2024-10-26 09:51:58,SA-54/TEMPERATURE,30.79
2024-10-26 09:52:00,SA-54/TEMPERATURE,31.26
2024-10-26 09:52:22,SA-54/TEMPERATURE,30.79
2024-10-26 09:52:24,SA-54/TEMPERATURE,31.26
2024-10-26 09:52:26,SA-54/TEMPERATURE,30.79
2024-10-26 09:52:28,SA-54/TEMPERATURE,31.26
2024-10-26 09:52:30,SA-54/TEMPERATURE,30.79
2024-10-26 09:52:32,SA-54/TEMPERATURE,31.26
2024-10-26 09:52:38,SA-54/TEMPERATURE,30.79
2024-10-26 09:52:56,SA-54/TEMPERATURE,31.26
2024-10-26 09:53:00,SA-54/TEMPERATURE,30.79
2024-10-26 09:53:02,SA-54/TEMPERATURE,31.26
2024-10-26 09:53:02,SA-54/LIGHT_LEVEL,1
2024-10-26 09:53:04,SA-54/TEMPERATURE,30.79
2024-10-26 09:53:04,SA-54/LIGHT_LEVEL,0
2024-10-26 09:53:06,SA-54/TEMPERATURE,31.26
2024-10-26 09:53:08,SA-54/TEMPERATURE,30.79
2024-10-26 09:53:10,SA-54/TEMPERATURE,31.26
2024-10-26 09:53:16,SA-54/TEMPERATURE,30.79
2024-10-26 15:33:59,SA-54/LED_LEVEL,5
2024-10-26 15:34:00,SA-54/TEMPERATURE,32.19
2024-10-26 15:34:00,SA-54/LIGHT_LEVEL,0
2024-10-26 15:34:06,SA-54/TEMPERATURE,31.73
2024-10-26 15:34:14,SA-54/TEMPERATURE,32.19
2024-10-26 15:34:15,SA-54/LED_LEVEL,4
2024-10-26 15:34:16,SA-54/LED_LEVEL,3
2024-10-26 15:34:16,SA-54/TEMPERATURE,31.73
2024-10-26 15:34:16,SA-54/LIGHT_LEVEL,1
2024-10-26 15:34:16,SA-54/LED_LEVEL,2
2024-10-26 15:34:17,SA-54/LED_LEVEL,4
2024-10-26 15:34:22,SA-54/LIGHT_LEVEL,0
2024-10-26 15:34:36,SA-54/TEMPERATURE,32.19
2024-10-26 15:34:36,SA-54/LIGHT_LEVEL,1
2024-10-26 15:34:38,SA-54/LIGHT_LEVEL,0
2024-10-26 15:34:40,SA-54/TEMPERATURE,31.73
2024-10-26 15:34:48,SA-54/TEMPERATURE,32.19
2024-10-26 15:34:52,SA-54/TEMPERATURE,31.73
2024-10-26 15:34:56,SA-54/TEMPERATURE,32.19
2024-10-26 15:34:58,SA-54/TEMPERATURE,31.73
2024-10-26 15:35:02,SA-54/TEMPERATURE,32.19
2024-10-26 15:35:04,SA-54/TEMPERATURE,31.73
2024-10-26 15:35:06,SA-54/LIGHT_LEVEL,1
2024-10-26 15:35:11,SA-54/LIGHT_LEVEL,0
2024-10-26 15:35:12,SA-54/LIGHT_LEVEL,1
2024-10-26 15:35:20,SA-54/TEMPERATURE,31.26
2024-10-26 15:35:20,SA-54/LIGHT_LEVEL,0
2024-10-26 15:35:22,SA-54/TEMPERATURE,32.19
2024-10-26 15:35:22,SA-54/LIGHT_LEVEL,1
2024-10-26 15:35:24,SA-54/LIGHT_LEVEL,0
2024-10-26 15:35:29,SA-54/TEMPERATURE,31.73
2024-10-26 15:35:48,SA-54/TEMPERATURE,32.19
2024-10-26 15:35:52,SA-54/TEMPERATURE,31.73
2024-10-26 15:35:54,SA-54/TEMPERATURE,32.19
2024-10-26 15:35:56,SA-54/TEMPERATURE,31.73
2024-10-26 15:35:58,SA-54/TEMPERATURE,32.19
2024-10-26 15:36:02,SA-54/TEMPERATURE,31.73
2024-10-26 15:36:04,SA-54/TEMPERATURE,32.19
2024-10-26 15:36:04,SA-54/LED_LEVEL,5
2024-10-26 15:36:05,SA-54/LED_LEVEL,4
2024-10-26 15:36:06,SA-54/TEMPERATURE,31.73
2024-10-26 15:36:08,SA-54/TEMPERATURE,32.19
2024-10-26 15:36:10,SA-54/TEMPERATURE,31.73
2024-10-26 15:36:12,SA-54/TEMPERATURE,32.19
2024-10-26 15:36:14,SA-54/LIGHT_LEVEL,1
2024-10-26 15:36:16,SA-54/TEMPERATURE,31.73
2024-10-26 15:36:16,SA-54/LIGHT_LEVEL,0
2024-10-26 15:36:20,SA-54/LED_LEVEL,5
2024-10-26 15:36:21,SA-54/LED_LEVEL,4
2024-10-26 15:36:22,SA-54/TEMPERATURE,32.19
2024-10-26 15:36:26,SA-54/TEMPERATURE,31.73
2024-10-26 15:36:30,SA-54/TEMPERATURE,32.19
2024-10-26 15:36:34,SA-54/TEMPERATURE,31.73
2024-10-26 15:36:36,SA-54/LIGHT_LEVEL,1
2024-10-26 15:36:38,SA-54/LIGHT_LEVEL,0
2024-10-26 15:36:46,SA-54/TEMPERATURE,32.19
2024-10-26 15:36:48,SA-54/TEMPERATURE,31.73
2024-10-26 15:36:50,SA-54/LED_LEVEL,5
2024-10-26 15:36:51,SA-54/LED_LEVEL,4
2024-10-26 15:36:52,SA-54/TEMPERATURE,32.19
2024-10-26 15:36:54,SA-54/TEMPERATURE,31.73
2024-10-26 15:36:56,SA-54/TEMPERATURE,32.19
2024-10-26 15:36:56,SA-54/LIGHT_LEVEL,1
2024-10-26 15:36:58,SA-54/TEMPERATURE,31.73
2024-10-26 15:36:58,SA-54/LIGHT_LEVEL,0
2024-10-26 15:37:00,SA-54/TEMPERATURE,32.19
2024-10-26 15:37:02,SA-54/TEMPERATURE,31.73
2024-10-26 15:37:14,SA-54/TEMPERATURE,32.19
2024-10-26 15:37:16,SA-54/TEMPERATURE,31.73
2024-10-26 15:37:18,SA-54/TEMPERATURE,32.19
2024-10-26 15:37:20,SA-54/TEMPERATURE,31.73
2024-10-26 15:37:20,SA-54/LIGHT_LEVEL,1
2024-10-26 15:37:20,SA-54/LED_LEVEL,5
2024-10-26 15:37:21,SA-54/LED_LEVEL,4
2024-10-26 15:37:22,SA-54/LIGHT_LEVEL,0
2024-10-26 15:37:24,SA-54/TEMPERATURE,32.19
2024-10-26 15:37:26,SA-54/TEMPERATURE,31.73
2024-10-26 15:37:28,SA-54/TEMPERATURE,32.19
2024-10-26 15:37:30,SA-54/TEMPERATURE,31.73
2024-10-26 15:37:32,SA-54/TEMPERATURE,32.19
2024-10-26 15:37:34,SA-54/TEMPERATURE,31.73
2024-10-26 15:37:36,SA-54/TEMPERATURE,32.19
2024-10-26 15:37:38,SA-54/TEMPERATURE,31.73
2024-10-26 15:37:40,SA-54/TEMPERATURE,32.19
2024-10-26 15:37:42,SA-54/TEMPERATURE,31.73
2024-10-26 15:37:44,SA-54/TEMPERATURE,32.19
2024-10-26 15:37:50,SA-54/LIGHT_LEVEL,1
2024-10-26 15:37:56,SA-54/TEMPERATURE,31.73
2024-10-26 15:37:58,SA-54/TEMPERATURE,32.19
2024-10-26 15:38:02,SA-54/LIGHT_LEVEL,0
2024-10-26 15:38:04,SA-54/TEMPERATURE,31.73
2024-10-26 15:38:06,SA-54/TEMPERATURE,32.19
2024-10-26 15:38:08,SA-54/TEMPERATURE,31.73
2024-10-26 15:38:10,SA-54/TEMPERATURE,32.19
2024-10-26 15:38:16,SA-54/TEMPERATURE,31.73
2024-10-26 15:38:20,SA-54/TEMPERATURE,32.19
2024-10-26 15:38:22,SA-54/TEMPERATURE,31.73
2024-10-26 15:38:24,SA-54/TEMPERATURE,32.19
2024-10-26 15:38:28,SA-54/TEMPERATURE,31.73
2024-10-26 15:38:28,SA-54/LIGHT_LEVEL,1
2024-10-26 15:38:30,SA-54/LIGHT_LEVEL,0
2024-10-26 15:38:34,SA-54/TEMPERATURE,32.19
2024-10-26 15:38:36,SA-54/TEMPERATURE,31.73
2024-10-26 15:38:40,SA-54/TEMPERATURE,32.19
2024-10-26 15:38:44,SA-54/TEMPERATURE,31.73
2024-10-26 15:38:48,SA-54/TEMPERATURE,32.19
2024-10-26 15:38:52,SA-54/LIGHT_LEVEL,1
2024-10-26 15:38:54,SA-54/LIGHT_LEVEL,0
2024-10-26 15:39:02,SA-54/TEMPERATURE,31.73
2024-10-26 15:39:10,SA-54/TEMPERATURE,32.19
2024-10-26 15:39:12,SA-54/TEMPERATURE,31.73
2024-10-26 15:39:12,SA-54/LIGHT_LEVEL,1
2024-10-26 15:39:14,SA-54/TEMPERATURE,32.19
2024-10-26 15:39:17,SA-54/TEMPERATURE,31.73
2024-10-26 15:39:17,SA-54/LIGHT_LEVEL,0
2024-10-26 15:39:17,SA-54/LED_LEVEL,5
2024-10-26 15:39:17,SA-54/LED_LEVEL,4
2024-10-26 15:39:18,SA-54/TEMPERATURE,32.19
2024-10-26 15:39:20,SA-54/TEMPERATURE,31.73
2024-10-26 15:39:26,SA-54/TEMPERATURE,32.19
2024-10-26 15:39:30,SA-54/TEMPERATURE,31.73
2024-10-26 15:39:32,SA-54/TEMPERATURE,32.19
2024-10-26 15:39:36,SA-54/TEMPERATURE,31.73
2024-10-26 15:39:38,SA-54/TEMPERATURE,32.19
2024-10-26 15:39:42,SA-54/TEMPERATURE,31.73
2024-10-26 15:39:44,SA-54/TEMPERATURE,32.19
2024-10-26 15:39:46,SA-54/TEMPERATURE,31.73
2024-10-26 15:39:48,SA-54/TEMPERATURE,32.19
2024-10-26 15:39:50,SA-54/TEMPERATURE,31.73
2024-10-26 15:39:50,SA-54/LIGHT_LEVEL,1
2024-10-26 15:39:58,SA-54/TEMPERATURE,32.19
2024-10-26 15:39:58,SA-54/LIGHT_LEVEL,0
2024-10-26 15:40:06,SA-54/TEMPERATURE,31.73
2024-10-26 15:40:08,SA-54/TEMPERATURE,32.19
2024-10-26 15:40:10,SA-54/TEMPERATURE,31.73
2024-10-26 15:40:14,SA-54/LED_LEVEL,5
2024-10-26 15:40:15,SA-54/LED_LEVEL,4
2024-10-26 15:40:16,SA-54/TEMPERATURE,32.19
2024-10-26 15:40:18,SA-54/TEMPERATURE,31.73
2024-10-26 15:40:20,SA-54/TEMPERATURE,32.19
2024-10-26 15:40:22,SA-54/TEMPERATURE,31.73
2024-10-26 15:40:24,SA-54/LIGHT_LEVEL,1
2024-10-26 15:40:26,SA-54/TEMPERATURE,32.19
2024-10-26 15:40:28,SA-54/TEMPERATURE,31.73
2024-10-26 15:40:28,SA-54/LIGHT_LEVEL,0
2024-10-26 15:40:33,SA-54/TEMPERATURE,32.19
2024-10-26 15:40:34,SA-54/TEMPERATURE,31.73
2024-10-26 15:40:46,SA-54/LIGHT_LEVEL,1
2024-10-26 15:40:48,SA-54/LIGHT_LEVEL,0
2024-10-26 15:40:50,SA-54/TEMPERATURE,32.19
2024-10-26 15:40:54,SA-54/TEMPERATURE,31.73
2024-10-26 15:40:56,SA-54/TEMPERATURE,32.19
2024-10-26 15:40:59,SA-54/TEMPERATURE,31.73
2024-10-26 15:41:02,SA-54/TEMPERATURE,32.19
2024-10-26 15:41:04,SA-54/LIGHT_LEVEL,1
2024-10-26 15:41:06,SA-54/TEMPERATURE,31.73
2024-10-26 15:41:08,SA-54/LIGHT_LEVEL,0
2024-10-26 15:41:16,SA-54/TEMPERATURE,32.19
2024-10-26 15:41:18,SA-54/TEMPERATURE,31.73
2024-10-26 15:41:23,SA-54/TEMPERATURE,32.19
2024-10-26 15:41:26,SA-54/TEMPERATURE,31.73
2024-10-26 15:41:30,SA-54/TEMPERATURE,32.19
2024-10-26 15:41:30,SA-54/LIGHT_LEVEL,1
2024-10-26 15:41:32,SA-54/TEMPERATURE,31.73
2024-10-26 15:41:34,SA-54/TEMPERATURE,32.19
2024-10-26 15:41:34,SA-54/LIGHT_LEVEL,0
2024-10-26 15:41:36,SA-54/TEMPERATURE,31.73
2024-10-26 15:41:38,SA-54/TEMPERATURE,32.19
2024-10-26 15:41:45,SA-54/TEMPERATURE,31.73
2024-10-26 15:41:46,SA-54/TEMPERATURE,32.19
2024-10-26 15:41:50,SA-54/TEMPERATURE,31.73
2024-10-26 15:41:54,SA-54/TEMPERATURE,32.19
2024-10-26 15:41:54,SA-54/LIGHT_LEVEL,1
2024-10-26 15:41:56,SA-54/TEMPERATURE,31.73
2024-10-26 15:41:56,SA-54/LIGHT_LEVEL,0
2024-10-26 15:42:02,SA-54/TEMPERATURE,32.19
2024-10-26 15:42:04,SA-54/TEMPERATURE,31.73
2024-10-26 15:42:06,SA-54/TEMPERATURE,32.19
2024-10-26 15:42:08,SA-54/TEMPERATURE,31.73
2024-10-26 15:42:10,SA-54/TEMPERATURE,32.19
2024-10-26 15:42:14,SA-54/TEMPERATURE,31.73
2024-10-26 15:42:16,SA-54/TEMPERATURE,32.19
2024-10-26 15:42:16,SA-54/LIGHT_LEVEL,1
2024-10-26 15:42:18,SA-54/LIGHT_LEVEL,0
2024-10-26 15:42:18,SA-54/LED_LEVEL,5
2024-10-26 15:42:19,SA-54/LED_LEVEL,4
2024-10-26 15:42:20,SA-54/LED_LEVEL,5
2024-10-26 15:42:21,SA-54/LED_LEVEL,4
2024-10-26 15:42:22,SA-54/TEMPERATURE,31.73
2024-10-26 15:42:28,SA-54/TEMPERATURE,32.19
2024-10-26 15:42:30,SA-54/TEMPERATURE,31.73
2024-10-26 15:42:30,SA-54/LED_LEVEL,5
2024-10-26 15:42:31,SA-54/LED_LEVEL,4
2024-10-26 15:42:34,SA-54/TEMPERATURE,32.19
2024-10-26 15:42:36,SA-54/TEMPERATURE,31.73
2024-10-26 15:42:38,SA-54/LIGHT_LEVEL,1
2024-10-26 15:42:40,SA-54/LIGHT_LEVEL,0
2024-10-26 15:42:48,SA-54/TEMPERATURE,32.19
2024-10-26 15:42:50,SA-54/TEMPERATURE,31.73
2024-10-26 15:42:54,SA-54/TEMPERATURE,32.19
2024-10-26 15:42:58,SA-54/TEMPERATURE,31.73
2024-10-26 15:43:00,SA-54/TEMPERATURE,32.19
2024-10-26 15:43:02,SA-54/TEMPERATURE,31.73
2024-10-26 15:43:16,SA-54/TEMPERATURE,32.19
2024-10-26 15:43:18,SA-54/TEMPERATURE,31.73
2024-10-26 15:43:28,SA-54/LIGHT_LEVEL,1
2024-10-26 15:43:30,SA-54/LIGHT_LEVEL,0
2024-10-26 15:43:32,SA-54/TEMPERATURE,32.19
2024-10-26 15:43:38,SA-54/TEMPERATURE,31.73
2024-10-26 15:43:48,SA-54/TEMPERATURE,32.19
2024-10-26 15:43:56,SA-54/TEMPERATURE,31.73
2024-10-26 15:44:00,SA-54/TEMPERATURE,32.19
2024-10-26 15:44:04,SA-54/TEMPERATURE,31.73
2024-10-26 15:44:06,SA-54/TEMPERATURE,32.19
2024-10-26 15:44:08,SA-54/TEMPERATURE,31.73
2024-10-26 15:44:10,SA-54/TEMPERATURE,32.19
2024-10-26 15:44:12,SA-54/TEMPERATURE,31.73
2024-10-26 15:44:14,SA-54/TEMPERATURE,32.19
2024-10-26 15:44:20,SA-54/TEMPERATURE,31.73
2024-10-26 15:44:26,SA-54/TEMPERATURE,32.19
2024-10-26 15:44:30,SA-54/TEMPERATURE,31.73
2024-10-26 15:44:34,SA-54/TEMPERATURE,32.19
2024-10-26 15:44:38,SA-54/TEMPERATURE,31.73
2024-10-26 15:44:42,SA-54/TEMPERATURE,32.19
2024-10-26 15:44:44,SA-54/TEMPERATURE,31.73
2024-10-26 15:44:46,SA-54/TEMPERATURE,32.19
2024-10-26 15:44:48,SA-54/TEMPERATURE,31.73
2024-10-26 15:44:50,SA-54/TEMPERATURE,32.19
2024-10-26 15:44:50,SA-54/LIGHT_LEVEL,1
2024-10-26 15:44:52,SA-54/LIGHT_LEVEL,0
2024-10-26 15:44:58,SA-54/TEMPERATURE,31.73
2024-10-26 15:45:00,SA-54/TEMPERATURE,32.19
2024-10-26 15:45:02,SA-54/TEMPERATURE,31.73
2024-10-26 15:45:06,SA-54/TEMPERATURE,32.19
2024-10-26 15:45:06,SA-54/LIGHT_LEVEL,1
2024-10-26 15:45:08,SA-54/TEMPERATURE,31.73
2024-10-26 15:45:08,SA-54/LIGHT_LEVEL,0
2024-10-26 15:45:16,SA-54/TEMPERATURE,32.19
2024-10-26 15:45:18,SA-54/TEMPERATURE,31.73
2024-10-26 15:45:20,SA-54/TEMPERATURE,32.19
2024-10-26 15:45:22,SA-54/TEMPERATURE,31.73
2024-10-26 15:45:22,SA-54/LIGHT_LEVEL,1
2024-10-26 15:45:24,SA-54/TEMPERATURE,32.19
2024-10-26 15:45:24,SA-54/LIGHT_LEVEL,0
2024-10-26 15:45:32,SA-54/TEMPERATURE,31.73
2024-10-26 15:45:34,SA-54/TEMPERATURE,32.19
2024-10-26 15:45:36,SA-54/TEMPERATURE,31.73
2024-10-26 15:45:40,SA-54/TEMPERATURE,32.19
2024-10-26 15:45:42,SA-54/TEMPERATURE,31.73
2024-10-26 15:45:42,SA-54/LIGHT_LEVEL,1
2024-10-26 15:45:44,SA-54/TEMPERATURE,32.19
2024-10-26 15:45:44,SA-54/LIGHT_LEVEL,0
2024-10-26 15:45:46,SA-54/TEMPERATURE,31.73
2024-10-26 15:45:48,SA-54/TEMPERATURE,32.19
2024-10-26 15:45:54,SA-54/TEMPERATURE,31.73
2024-10-26 15:45:58,SA-54/LIGHT_LEVEL,1
2024-10-26 15:46:00,SA-54/LIGHT_LEVEL,0
2024-10-26 15:46:02,SA-54/TEMPERATURE,32.19
2024-10-26 15:46:06,SA-54/TEMPERATURE,31.73
2024-10-26 15:46:08,SA-54/TEMPERATURE,32.19
2024-10-26 15:46:10,SA-54/TEMPERATURE,31.73
2024-10-26 15:46:14,SA-54/TEMPERATURE,32.19
2024-10-26 15:46:16,SA-54/LIGHT_LEVEL,1
2024-10-26 15:46:18,SA-54/TEMPERATURE,31.73
2024-10-26 15:46:18,SA-54/LIGHT_LEVEL,0
2024-10-26 15:46:24,SA-54/TEMPERATURE,32.19
2024-10-26 15:46:34,SA-54/LIGHT_LEVEL,1
2024-10-26 15:46:38,SA-54/LIGHT_LEVEL,0
2024-10-26 15:46:46,SA-54/TEMPERATURE,31.73
2024-10-26 15:46:48,SA-54/TEMPERATURE,32.19
2024-10-26 15:46:52,SA-54/TEMPERATURE,31.73
2024-10-26 15:46:52,SA-54/LIGHT_LEVEL,1
2024-10-26 15:46:54,SA-54/TEMPERATURE,32.19
2024-10-26 15:46:54,SA-54/LIGHT_LEVEL,0
2024-10-26 15:46:56,SA-54/TEMPERATURE,31.73
2024-10-26 15:46:58,SA-54/TEMPERATURE,32.19
2024-10-26 15:46:58,SA-54/LED_LEVEL,5
2024-10-26 15:46:59,SA-54/LED_LEVEL,4
2024-10-26 15:47:10,SA-54/LIGHT_LEVEL,1
2024-10-26 15:47:16,SA-54/TEMPERATURE,31.73
2024-10-26 15:47:16,SA-54/LIGHT_LEVEL,0
2024-10-26 15:47:20,SA-54/TEMPERATURE,32.19
2024-10-26 15:47:22,SA-54/TEMPERATURE,31.73
2024-10-26 15:47:24,SA-54/TEMPERATURE,32.19
2024-10-26 15:47:26,SA-54/TEMPERATURE,31.73
2024-10-26 15:47:34,SA-54/TEMPERATURE,32.19
2024-10-26 15:47:36,SA-54/LIGHT_LEVEL,1
2024-10-26 15:47:38,SA-54/TEMPERATURE,31.73
2024-10-26 15:47:42,SA-54/LIGHT_LEVEL,0
2024-10-26 15:47:46,SA-54/TEMPERATURE,32.19
2024-10-26 15:47:48,SA-54/TEMPERATURE,31.73
2024-10-26 15:47:52,SA-54/TEMPERATURE,32.19
2024-10-26 15:47:54,SA-54/TEMPERATURE,31.73
2024-10-26 15:48:04,SA-54/TEMPERATURE,32.19
2024-10-26 15:48:06,SA-54/TEMPERATURE,31.73
2024-10-26 15:48:18,SA-54/TEMPERATURE,32.19
2024-10-26 15:48:20,SA-54/TEMPERATURE,31.73
2024-10-26 15:48:30,SA-54/TEMPERATURE,32.19
2024-10-26 15:48:34,SA-54/TEMPERATURE,31.73
2024-10-26 15:48:40,SA-54/TEMPERATURE,32.19
2024-10-26 15:48:44,SA-54/TEMPERATURE,31.73
2024-10-26 15:48:50,SA-54/TEMPERATURE,32.19
2024-10-26 15:48:52,SA-54/TEMPERATURE,31.73
2024-10-26 15:48:54,SA-54/TEMPERATURE,32.19
2024-10-26 15:48:58,SA-54/TEMPERATURE,31.73
2024-10-26 15:49:02,SA-54/TEMPERATURE,32.19
2024-10-26 15:49:16,SA-54/TEMPERATURE,31.73
2024-10-26 15:49:18,SA-54/TEMPERATURE,32.19
2024-10-26 15:49:48,SA-54/TEMPERATURE,31.73
2024-10-26 15:49:50,SA-54/TEMPERATURE,32.19
2024-10-26 15:49:58,SA-54/TEMPERATURE,31.73
2024-10-26 15:50:02,SA-54/TEMPERATURE,32.19
2024-10-26 15:50:14,SA-54/TEMPERATURE,31.73
2024-10-26 15:50:16,SA-54/TEMPERATURE,32.19
2024-10-26 15:50:18,SA-54/TEMPERATURE,31.73
2024-10-26 15:50:20,SA-54/TEMPERATURE,32.19
2024-10-26 15:50:26,SA-54/TEMPERATURE,31.73
2024-10-26 15:50:26,SA-54/LIGHT_LEVEL,1
2024-10-26 15:50:28,SA-54/TEMPERATURE,32.19
2024-10-26 15:50:30,SA-54/LIGHT_LEVEL,0
2024-10-26 15:50:36,SA-54/TEMPERATURE,31.73
2024-10-26 15:50:38,SA-54/TEMPERATURE,32.19
2024-10-26 15:50:42,SA-54/TEMPERATURE,31.73
2024-10-26 15:50:44,SA-54/TEMPERATURE,32.19
2024-10-26 15:50:48,SA-54/TEMPERATURE,31.73
2024-10-26 15:50:52,SA-54/TEMPERATURE,32.19
2024-10-26 15:50:52,SA-54/LIGHT_LEVEL,1
2024-10-26 15:50:56,SA-54/TEMPERATURE,31.73
2024-10-26 15:50:58,SA-54/TEMPERATURE,32.19
2024-10-26 15:51:02,SA-54/LIGHT_LEVEL,0
2024-10-26 15:51:16,SA-54/LIGHT_LEVEL,1
2024-10-26 15:51:18,SA-54/TEMPERATURE,31.73
2024-10-26 15:51:24,SA-54/TEMPERATURE,32.19
2024-10-26 15:51:28,SA-54/LIGHT_LEVEL,0
2024-10-26 15:51:32,SA-54/TEMPERATURE,31.73
2024-10-26 15:51:38,SA-54/TEMPERATURE,32.19
2024-10-26 15:51:48,SA-54/TEMPERATURE,31.73
2024-10-26 15:51:48,SA-54/LIGHT_LEVEL,1
2024-10-26 15:51:50,SA-54/TEMPERATURE,32.19
2024-10-26 15:51:55,SA-54/TEMPERATURE,31.73
2024-10-26 15:52:00,SA-54/TEMPERATURE,32.19
2024-10-26 15:52:02,SA-54/TEMPERATURE,31.73
2024-10-26 15:52:02,SA-54/LIGHT_LEVEL,0
2024-10-26 15:52:06,SA-54/TEMPERATURE,32.19
2024-10-26 15:52:18,SA-54/TEMPERATURE,31.73
2024-10-26 15:52:20,SA-54/TEMPERATURE,32.19
2024-10-26 15:52:22,SA-54/TEMPERATURE,31.73
2024-10-26 15:52:24,SA-54/TEMPERATURE,32.19
2024-10-26 15:52:28,SA-54/TEMPERATURE,31.73
2024-10-26 15:52:32,SA-54/TEMPERATURE,32.19
2024-10-26 15:52:34,SA-54/TEMPERATURE,31.73
2024-10-26 15:52:36,SA-54/TEMPERATURE,32.19
2024-10-26 15:52:42,SA-54/TEMPERATURE,31.73
2024-10-26 15:52:44,SA-54/TEMPERATURE,32.19
2024-10-26 15:52:50,SA-54/LIGHT_LEVEL,1
2024-10-26 15:53:00,SA-54/TEMPERATURE,31.73
2024-10-26 15:53:02,SA-54/TEMPERATURE,32.19
2024-10-26 15:53:04,SA-54/LIGHT_LEVEL,0
2024-10-26 15:53:12,SA-54/TEMPERATURE,31.73
2024-10-26 15:53:16,SA-54/TEMPERATURE,32.19
2024-10-26 15:53:24,SA-54/TEMPERATURE,31.73
2024-10-26 15:53:26,SA-54/TEMPERATURE,32.19
2024-10-26 15:53:28,SA-54/LIGHT_LEVEL,1
2024-10-26 15:53:42,SA-54/TEMPERATURE,31.73
2024-10-26 15:53:42,SA-54/LIGHT_LEVEL,0
2024-10-26 15:53:44,SA-54/TEMPERATURE,32.19
2024-10-26 15:53:58,SA-54/TEMPERATURE,31.73
2024-10-26 15:54:00,SA-54/TEMPERATURE,32.19
2024-10-26 15:54:06,SA-54/TEMPERATURE,31.73
2024-10-26 15:54:06,SA-54/LIGHT_LEVEL,1
2024-10-26 15:54:08,SA-54/TEMPERATURE,32.19
2024-10-26 15:54:10,SA-54/TEMPERATURE,31.73
2024-10-26 15:54:12,SA-54/TEMPERATURE,32.19
2024-10-26 15:54:20,SA-54/TEMPERATURE,31.73
2024-10-26 15:54:22,SA-54/TEMPERATURE,32.19
2024-10-26 15:54:22,SA-54/LIGHT_LEVEL,0
2024-10-26 15:54:22,SA-54/LED_LEVEL,5
2024-10-26 15:54:23,SA-54/LED_LEVEL,4
2024-10-26 15:54:26,SA-54/TEMPERATURE,31.73
2024-10-26 15:54:30,SA-54/TEMPERATURE,32.19
2024-10-26 15:54:36,SA-54/TEMPERATURE,31.73
2024-10-26 15:54:38,SA-54/TEMPERATURE,32.19
2024-10-26 15:54:40,SA-54/TEMPERATURE,31.73
2024-10-26 15:54:42,SA-54/TEMPERATURE,32.19
2024-10-26 15:54:44,SA-54/TEMPERATURE,31.73
