時間,設備,值
2024-10-19 14:31:30,SA-54/TEMPERATURE,31.26
2024-10-19 14:31:32,SA-54/TEMPERATURE,31.73
2024-10-19 14:31:54,SA-54/TEMPERATURE,31.26
2024-10-19 14:31:58,SA-54/TEMPERATURE,31.73
2024-10-19 14:32:12,SA-54/TEMPERATURE,31.26
2024-10-19 14:32:14,SA-54/TEMPERATURE,31.73
2024-10-19 14:32:34,SA-54/TEMPERATURE,31.26
2024-10-19 14:32:38,SA-54/TEMPERATURE,31.73
2024-10-19 14:32:41,SA-54/TEMPERATURE,31.26
2024-10-19 14:32:44,SA-54/TEMPERATURE,31.73
2024-10-19 14:33:06,SA-54/TEMPERATURE,31.26
2024-10-19 14:33:08,SA-54/TEMPERATURE,31.73
2024-10-19 14:33:14,SA-54/TEMPERATURE,31.26
2024-10-19 14:33:16,SA-54/TEMPERATURE,31.73
2024-10-19 14:33:18,SA-54/TEMPERATURE,31.26
2024-10-19 14:33:22,SA-54/TEMPERATURE,31.73
2024-10-19 14:33:28,SA-54/TEMPERATURE,31.26
2024-10-19 14:33:30,SA-54/TEMPERATURE,31.73
2024-10-19 14:33:34,SA-54/TEMPERATURE,31.26
2024-10-19 14:33:36,SA-54/TEMPERATURE,31.73
2024-10-19 14:33:38,SA-54/TEMPERATURE,31.26
2024-10-19 14:33:40,SA-54/TEMPERATURE,31.73
2024-10-19 14:34:10,SA-54/TEMPERATURE,31.26
2024-10-19 14:34:14,SA-54/TEMPERATURE,31.73
2024-10-19 14:34:16,SA-54/TEMPERATURE,31.26
2024-10-19 14:34:18,SA-54/TEMPERATURE,31.73
2024-10-19 14:34:26,SA-54/TEMPERATURE,31.26
2024-10-19 14:34:28,SA-54/TEMPERATURE,31.73
2024-10-19 14:34:33,SA-54/LED_LEVEL,1
2024-10-19 14:34:34,SA-54/LED_LEVEL,0
2024-10-19 14:34:35,SA-54/LED_LEVEL,2
2024-10-19 14:34:36,SA-54/TEMPERATURE,31.26
2024-10-19 14:34:38,SA-54/TEMPERATURE,31.73
2024-10-19 14:34:40,SA-54/TEMPERATURE,31.26
2024-10-19 14:34:44,SA-54/TEMPERATURE,31.73
2024-10-19 14:35:04,SA-54/TEMPERATURE,31.26
2024-10-19 14:35:06,SA-54/TEMPERATURE,31.73
2024-10-19 14:35:18,SA-54/TEMPERATURE,31.26
2024-10-19 14:35:20,SA-54/TEMPERATURE,31.73
2024-10-19 14:35:22,SA-54/TEMPERATURE,31.26
2024-10-19 14:35:25,SA-54/TEMPERATURE,31.73
2024-10-19 14:35:28,SA-54/TEMPERATURE,31.26
2024-10-19 14:35:30,SA-54/TEMPERATURE,31.73
2024-10-19 14:35:46,SA-54/TEMPERATURE,31.26
2024-10-19 14:35:48,SA-54/TEMPERATURE,31.73
2024-10-19 14:36:06,SA-54/TEMPERATURE,31.26
2024-10-19 14:36:08,SA-54/TEMPERATURE,31.73
2024-10-19 14:36:10,SA-54/TEMPERATURE,31.26
2024-10-19 14:36:16,SA-54/TEMPERATURE,31.73
2024-10-19 14:36:58,SA-54/TEMPERATURE,31.26
2024-10-19 14:37:02,SA-54/TEMPERATURE,31.73
2024-10-19 14:37:04,SA-54/TEMPERATURE,31.26
2024-10-19 14:37:06,SA-54/TEMPERATURE,31.73
2024-10-19 14:37:32,SA-54/TEMPERATURE,31.26
2024-10-19 14:37:34,SA-54/TEMPERATURE,31.73
2024-10-19 14:37:40,SA-54/TEMPERATURE,31.26
2024-10-19 14:37:42,SA-54/TEMPERATURE,31.73
2024-10-19 14:38:20,SA-54/TEMPERATURE,31.26
2024-10-19 14:38:22,SA-54/TEMPERATURE,31.73
2024-10-19 14:38:48,SA-54/TEMPERATURE,31.26
2024-10-19 14:38:50,SA-54/TEMPERATURE,31.73
2024-10-19 14:39:02,SA-54/TEMPERATURE,31.26
2024-10-19 14:39:04,SA-54/TEMPERATURE,31.73
2024-10-19 14:39:06,SA-54/TEMPERATURE,31.26
2024-10-19 14:39:08,SA-54/TEMPERATURE,31.73
2024-10-19 14:39:46,SA-54/TEMPERATURE,31.26
2024-10-19 14:39:48,SA-54/TEMPERATURE,31.73
2024-10-19 14:40:26,SA-54/TEMPERATURE,31.26
2024-10-19 14:40:28,SA-54/TEMPERATURE,31.73
2024-10-19 14:40:40,SA-54/TEMPERATURE,31.26
2024-10-19 14:40:42,SA-54/TEMPERATURE,31.73
2024-10-19 14:41:10,SA-54/TEMPERATURE,31.26
2024-10-19 14:41:15,SA-54/TEMPERATURE,31.73
2024-10-19 14:41:42,SA-54/TEMPERATURE,31.26
2024-10-19 14:41:44,SA-54/TEMPERATURE,31.73
2024-10-19 14:41:52,SA-54/TEMPERATURE,31.26
2024-10-19 14:41:54,SA-54/TEMPERATURE,31.73
2024-10-19 14:42:16,SA-54/TEMPERATURE,31.26
2024-10-19 14:42:18,SA-54/TEMPERATURE,31.73
2024-10-19 14:42:28,SA-54/TEMPERATURE,31.26
2024-10-19 14:42:30,SA-54/TEMPERATURE,31.73
2024-10-19 14:42:46,SA-54/TEMPERATURE,31.26
2024-10-19 14:42:48,SA-54/TEMPERATURE,31.73
2024-10-19 14:43:30,SA-54/TEMPERATURE,31.26
2024-10-19 14:43:34,SA-54/TEMPERATURE,31.73
2024-10-19 14:43:46,SA-54/TEMPERATURE,31.26
2024-10-19 14:43:47,SA-54/TEMPERATURE,31.73
2024-10-19 14:44:42,SA-54/TEMPERATURE,31.26
2024-10-19 14:44:44,SA-54/TEMPERATURE,31.73
2024-10-19 14:44:48,SA-54/TEMPERATURE,31.26
2024-10-19 14:44:52,SA-54/TEMPERATURE,31.73
2024-10-19 14:44:54,SA-54/TEMPERATURE,31.26
2024-10-19 14:44:56,SA-54/TEMPERATURE,31.73
2024-10-19 14:45:04,SA-54/TEMPERATURE,31.26
2024-10-19 14:45:06,SA-54/TEMPERATURE,31.73
2024-10-19 14:45:10,SA-54/TEMPERATURE,31.26
2024-10-19 14:45:12,SA-54/TEMPERATURE,31.73
2024-10-19 14:45:14,SA-54/TEMPERATURE,31.26
2024-10-19 14:45:16,SA-54/TEMPERATURE,31.73
2024-10-19 14:45:24,SA-54/TEMPERATURE,31.26
2024-10-19 14:45:30,SA-54/TEMPERATURE,31.73
2024-10-19 14:45:48,SA-54/TEMPERATURE,31.26
2024-10-19 14:45:50,SA-54/TEMPERATURE,31.73
2024-10-19 14:45:58,SA-54/TEMPERATURE,31.26
2024-10-19 14:46:00,SA-54/TEMPERATURE,31.73
2024-10-19 14:46:02,SA-54/TEMPERATURE,31.26
2024-10-19 14:46:06,SA-54/TEMPERATURE,31.73
2024-10-19 14:46:14,SA-54/TEMPERATURE,31.26
2024-10-19 14:46:16,SA-54/TEMPERATURE,31.73
2024-10-19 14:46:20,SA-54/TEMPERATURE,31.26
2024-10-19 14:46:24,SA-54/TEMPERATURE,31.73
2024-10-19 14:46:28,SA-54/TEMPERATURE,31.26
2024-10-19 14:46:34,SA-54/TEMPERATURE,31.73
2024-10-19 14:46:53,SA-54/TEMPERATURE,31.26
2024-10-19 14:46:56,SA-54/TEMPERATURE,31.73
2024-10-19 14:47:04,SA-54/TEMPERATURE,31.26
2024-10-19 14:47:06,SA-54/TEMPERATURE,31.73
2024-10-19 14:47:08,SA-54/TEMPERATURE,31.26
2024-10-19 14:47:10,SA-54/TEMPERATURE,31.73
2024-10-19 14:47:44,SA-54/TEMPERATURE,31.26
2024-10-19 14:47:46,SA-54/TEMPERATURE,31.73
2024-10-19 14:47:48,SA-54/TEMPERATURE,31.26
2024-10-19 14:47:50,SA-54/TEMPERATURE,31.73
2024-10-19 14:48:02,SA-54/TEMPERATURE,31.26
2024-10-19 14:48:04,SA-54/TEMPERATURE,31.73
2024-10-19 14:48:12,SA-54/TEMPERATURE,31.26
2024-10-19 14:48:14,SA-54/TEMPERATURE,31.73
2024-10-19 14:48:18,SA-54/TEMPERATURE,31.26
2024-10-19 14:48:20,SA-54/TEMPERATURE,31.73
2024-10-19 14:48:44,SA-54/TEMPERATURE,31.26
2024-10-19 14:48:46,SA-54/TEMPERATURE,31.73
2024-10-19 14:48:52,SA-54/TEMPERATURE,31.26
2024-10-19 14:48:54,SA-54/TEMPERATURE,31.73
2024-10-19 14:49:08,SA-54/TEMPERATURE,31.26
2024-10-19 14:49:10,SA-54/TEMPERATURE,31.73
2024-10-19 14:49:26,SA-54/TEMPERATURE,31.26
2024-10-19 14:49:28,SA-54/TEMPERATURE,31.73
2024-10-19 14:50:04,SA-54/TEMPERATURE,31.26
2024-10-19 14:50:06,SA-54/TEMPERATURE,31.73
2024-10-19 14:50:20,SA-54/TEMPERATURE,31.26
2024-10-19 14:50:22,SA-54/TEMPERATURE,31.73
2024-10-19 14:51:12,SA-54/TEMPERATURE,31.26
2024-10-19 14:51:14,SA-54/TEMPERATURE,31.73
2024-10-19 14:54:34,SA-54/TEMPERATURE,32.19
2024-10-19 14:54:36,SA-54/TEMPERATURE,31.73
2024-10-19 14:56:02,SA-54/TEMPERATURE,31.26
2024-10-19 14:56:04,SA-54/TEMPERATURE,31.73
2024-10-19 14:56:40,SA-54/TEMPERATURE,32.19
2024-10-19 14:56:42,SA-54/TEMPERATURE,31.73
2024-10-19 14:59:36,SA-54/TEMPERATURE,31.26
2024-10-19 14:59:38,SA-54/TEMPERATURE,31.73
2024-10-19 15:01:36,SA-54/TEMPERATURE,31.73
2024-10-19 15:01:36,SA-54/LED_LEVEL,2
